cod;gram;cnt;s09;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24
_1(1a);[player] [dist] Reverse Dunk (cnt PTS) ([player] cnt AST);828;10.65;19.05;59.5;54;58.6;47.76;1.53;3.8;3.06;54.12;60.98;63.87;49.53;77.1;61.36;67.77
_1(1a);[player] Reverse Dunk (cnt PTS) ([player] cnt AST);592;67.68;60.21;13.73;15.83;20.55;18.2;64.84;73.71;67.99;7.62;9.15;8.75;6.83;8.31;10.61;3.66
_1(1a);[player] [dist] Running Slam Dunk (cnt PTS) ([player] cnt AST);457;13.69;21.34;65.6;69.83;95.89;92.49;1.53;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] Running Alley Oop Dunk Shot (cnt PTS) ([player] cnt AST);445;NA;NA;NA;NA;NA;NA;NA;93.47;100.08;10.67;12.2;15.75;27.33;34.01;38.64;27.47
_1(1a);[player] Running Slam Dunk (cnt PTS) ([player] cnt AST);425;59.32;51.83;12.97;18.62;26.64;25.78;131.96;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] [dist] Reverse Slam Dunk (cnt PTS) ([player] cnt AST);130;9.13;6.1;26.7;19.55;17.5;22.74;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] [dist] Driving Reverse Dunk Shot (cnt PTS) ([player] cnt AST);121;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.43;18.29;24.5;11.96;11.34;14.39;10.99
_1(1a);[player] Reverse Slam Dunk (cnt PTS) ([player] cnt AST);107;19.01;22.1;6.1;2.79;4.57;6.07;21.36;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] [dist] Running Reverse Dunk Shot (cnt PTS) ([player] cnt AST);80;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.86;6.1;13.12;9.39;11.34;13.64;7.33
_1(1a);[player] Driving Reverse Dunk Shot (cnt PTS) ([player] cnt AST);65;NA;NA;NA;NA;NA;NA;NA;9.88;22.15;4.57;3.05;2.62;0.85;2.27;2.27;5.49
_1(1a);[player] Running Reverse Dunk Shot (cnt PTS) ([player] cnt AST);41;NA;NA;NA;NA;NA;NA;NA;9.12;9.93;1.52;3.05;NA;NA;5.29;2.27;NA
_1(1a);[player] Putback Dunk (cnt PTS) ([player] cnt AST);12;0.76;0.76;0.76;NA;1.52;NA;NA;3.8;1.53;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] [dist] Putback Dunk (cnt PTS) ([player] cnt AST);11;0.76;NA;1.53;1.86;3.81;NA;NA;NA;NA;NA;NA;0.87;NA;NA;NA;NA
_1(1a);[player] Tip Dunk Shot (cnt PTS) ([player] cnt AST);3;NA;NA;NA;NA;NA;NA;NA;1.52;0.76;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] [dist] Putback Slam Dunk (cnt PTS) ([player] cnt AST);2;NA;NA;NA;0.93;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] [dist] Tip Dunk Shot (cnt PTS) ([player] cnt AST);2;NA;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;NA;NA;NA;NA;NA;NA
_1(1a);[player] Putback Slam Dunk (cnt PTS) ([player] cnt AST);1;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2);[player] [dist] Hook Shot (cnt PTS);9760;501.9;575.46;565.22;501.86;492.39;563.31;593.44;734.8;631.02;612.04;505.34;358.71;333.9;278.91;258.33;232.6
_1(2);[player] [dist] Turnaround Hook Shot (cnt PTS);6883;152.09;157.01;211.29;216.95;202.44;257.01;308.16;437.69;415.58;435.21;564.79;407.7;508.97;450.49;481.06;426.74
_1(2);[player] [dist] Driving Hook Shot (cnt PTS);3995;67.68;86.13;91.53;74.49;111.11;119.03;97.64;299.39;392.67;303.35;325.46;241.47;245.09;244.9;287.12;298.53
_1(2);[player] [dist] Jump Hook Shot (cnt PTS);2964;301.9;403.2;305.11;336.13;315.83;335.86;319.6;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2);[player] [dist] Running Hook Shot (cnt PTS);1794;205.32;199.7;218.15;205.77;184.93;196.36;192.22;NA;0.76;NA;NA;NA;NA;NA;NA;NA
_1(2);[player] [dist] Turnaround Bank Hook Shot (cnt PTS);689;13.69;16.77;18.31;17.69;29.68;36.39;34.32;34.19;30.56;48.02;62.5;43.74;39.28;43.08;43.18;62.27
_1(2);[player] [dist] Hook Bank Shot (cnt PTS);657;33.46;24.39;38.14;35.38;21.31;34.87;33.56;43.31;42.78;32.77;51.07;31.5;19.64;36.28;21.97;29.3
_1(2);[player] [dist] Driving Bank Hook Shot (cnt PTS);648;4.56;1.52;4.58;6.52;5.33;11.37;13.73;28.88;41.25;36.59;60.98;45.49;56.36;61.98;102.27;58.61
_1(2);[player] [dist] Jump Bank Hook Shot (cnt PTS);134;12.93;19.05;11.44;12.1;19.79;19.71;9.15;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2);[player] [dist] Running Bank Hook Shot (cnt PTS);90;6.08;5.34;15.26;9.31;12.18;12.13;9.92;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2);[player] Hook Shot (cnt PTS);63;8.37;10.67;0.76;1.86;NA;3.03;2.29;3.04;6.88;2.29;1.52;NA;1.71;1.51;3.79;1.83
_1(2);[player] Turnaround Hook Shot (cnt PTS);31;0.76;3.05;NA;NA;NA;NA;NA;6.08;3.06;1.52;2.29;1.75;1.71;2.27;1.52;NA
_1(2);[player] Driving Hook Shot (cnt PTS);21;3.04;0.76;NA;NA;NA;NA;NA;3.04;4.58;NA;1.52;1.75;NA;0.76;NA;1.83
_1(2);[player] Jump Hook Shot (cnt PTS);16;2.28;4.57;0.76;0.93;0.76;NA;3.05;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2);[player] Running Hook Shot (cnt PTS);9;1.52;3.81;NA;NA;NA;0.76;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(2);[player] Hook Bank Shot (cnt PTS);3;0.76;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;NA;NA;NA;NA;NA;NA
_1(2);[player] Driving Bank Hook Shot (cnt PTS);2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;0.76;NA;NA
_1(2);[player] Turnaround Bank Hook Shot (cnt PTS);2;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.87;NA;NA;NA;NA
_1(2);[player] Running Bank Hook Shot (cnt PTS);1;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
