cod;gram;cnt;s09;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24
_1(5a);[player] [dist] 3PT Turnaround Fadeaway Bank Jump Shot (cnt PTS) ([player] cnt AST);10;NA;NA;NA;NA;NA;NA;NA;NA;0.76;2.29;NA;2.62;1.71;0.76;NA;NA
_1(5a);[player] [dist] 3PT Fadeaway Bank Shot (cnt PTS) ([player] cnt AST);9;NA;NA;NA;NA;0.76;NA;1.53;0.76;NA;NA;NA;NA;NA;NA;3.79;NA
_1(5a);[player] [dist] 3PT Driving Floating Jump Shot (cnt PTS) ([player] cnt AST);6;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;0.76;NA;NA;1.51;0.76;1.83
_1(5a);[player] [dist] 3PT Driving Floating Bank Jump Shot (cnt PTS) ([player] cnt AST);5;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;0.87;NA;0.76;0.76;1.83
_1(5a);[player] 3PT Turnaround Fadeaway (cnt PTS) ([player] cnt AST);5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.87;0.85;1.51;0.76;NA
_1(5a);[player] 3PT Floating Jump Shot (cnt PTS) ([player] cnt AST);4;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;NA;NA;1.75;NA;NA;NA;NA
_1(5a);[player] [dist] 3PT Shot (cnt PTS) ([player] cnt AST);2;NA;NA;NA;NA;NA;NA;NA;NA;1.53;NA;NA;NA;NA;NA;NA;NA
_1(5a);[player] 3PT Step Back Bank Jump Shot (cnt PTS) ([player] cnt AST);2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.85;NA;0.76;NA
_1(5a);[player] [dist] 3PT Driving Jump Shot (cnt PTS) ([player] cnt AST);1;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(5a);[player] [dist] 3PT Running Bank Hook Shot (cnt PTS) ([player] cnt AST);1;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(5a);[player] [dist] 3PT Turnaround Bank Hook Shot (cnt PTS) ([player] cnt AST);1;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA
_1(5a);[player] [dist] 3PT Turnaround Bank Shot (cnt PTS) ([player] cnt AST);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.83
_1(5a);[player] 3PT Driving Floating Jump Shot (cnt PTS) ([player] cnt AST);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.85;NA;NA;NA
_10(0);Jump Ball [player] vs. [player]: Tip to [player];20452;1028.9;1030.49;1030.51;1044.69;1042.62;1061.41;1037.38;1041.03;1022.92;1032.01;1051.83;1048.12;1032.45;1024.19;1047.73;1018.32
_10(0);Jump Ball [player] vs. [player]: Tip to;471;41.83;30.49;41.95;30.73;25.11;16.68;25.93;22.8;26.74;13.72;6.86;16.62;17.93;21.16;18.94;25.64
_10(1);Jump Ball [player] vs. [player]: Tip to [player];11626;539.16;628.81;563.69;621.97;639.27;581.5;585.81;574.47;601.99;602.9;581.55;564.3;625.11;598.64;551.52;576.92
_10(1);Jump Ball [player] vs. [player]: Tip to;1073;50.19;70.12;56.45;54.93;51.75;74.3;59.5;57.75;59.59;47.26;54.12;46.37;46.97;53.67;40.15;34.8
_10(2);Jump Ball (CC) [player] vs. [player]: Tip to [player];393;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76.12;103.33;83.14;37.88;45.79
_10(2);Coach Challenge;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.37;5.98;5.29;1.52;1.83
_11(0);[player] Ejection:Other;570;9.89;2.29;12.97;2.79;11.42;11.37;11.44;3.8;17.57;59.45;55.64;46.37;48.68;71.81;59.09;49.45
_11(0);[player] Ejection:Second Technical;260;20.53;19.82;31.27;19.55;24.35;18.2;16.78;26.6;24.45;NA;NA;NA;NA;NA;NA;NA
_11(0);[player] Ejection:First Flagrant Type 2;126;9.89;3.05;13.73;9.31;13.7;10.61;13.73;10.64;12.99;NA;NA;NA;NA;NA;NA;NA
_11(0);[player] Ejection:No Ejection;4;NA;NA;NA;NA;NA;2.27;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA
_11(0);[player] Ejection:;2;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;1.83
_11(0);[player] Ejection:Second Flagrant Type 1;2;NA;NA;NA;NA;NA;1.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_11(1);[coach] Ejection:Other;84;1.52;2.29;0.76;0.93;NA;0.76;NA;1.52;2.29;7.62;12.2;9.62;7.69;8.31;7.58;7.33
_11(1);[coach] Ejection:Second Technical;75;12.17;13.72;4.58;9.31;3.81;3.79;3.05;3.04;5.35;NA;NA;NA;NA;NA;NA;NA
_11(1);[coach] Ejection:No Ejection;3;NA;NA;NA;0.93;0.76;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA
_12(0);Start of 1st OT ([hour]);1159;58.56;55.64;66.36;64.25;63.93;66.72;64.07;63.07;55.77;49.54;54.12;65.62;51.24;44.6;63.64;49.45
_12(0);Start of 2nd OT ([hour]);160;11.41;6.86;7.63;8.38;12.18;10.61;12.97;7.6;6.11;5.34;9.15;6.12;5.98;5.29;7.58;3.66
_12(0);Start of 3rd OT ([hour]);30;2.28;0.76;3.05;2.79;2.28;2.27;3.05;0.76;0.76;0.76;3.05;NA;NA;1.51;NA;NA
_12(0);Start of 4th OT ([hour]);5;NA;NA;NA;0.93;NA;NA;NA;0.76;0.76;NA;1.52;NA;NA;NA;NA;NA
_12(1);Start of 1st Period ([hour]);19708;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
_12(2);Start of 2nd Period ([hour]);19708;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
_12(3);Start of 3rd Period ([hour]);19708;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
_12(4);Start of 4th Period ([hour]);19708;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
_13(0);End of 1st OT ([hour]);1158;58.56;55.64;66.36;64.25;63.93;66.72;64.07;62.31;55.77;49.54;54.12;65.62;51.24;44.6;63.64;49.45
_13(0);End of 2nd OT ([hour]);160;11.41;6.86;7.63;8.38;12.18;10.61;12.97;7.6;6.11;5.34;9.15;6.12;5.98;5.29;7.58;3.66
_13(0);End of 3rd OT ([hour]);30;2.28;0.76;3.05;2.79;2.28;2.27;3.05;0.76;0.76;0.76;3.05;NA;NA;1.51;NA;NA
_13(0);End of 4th OT ([hour]);5;NA;NA;NA;0.93;NA;NA;NA;0.76;0.76;NA;1.52;NA;NA;NA;NA;NA
_13(1);End of 1st Period ([hour]);19709;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000.76;1000;1000;1000;1000;1000
_13(2);End of 2nd Period ([hour]);19708;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
_13(3);End of 3rd Period ([hour]);19708;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
_13(4);End of 4th Period ([hour]);19709;1000;1000;1000;1000;1000;1000;1000.76;1000;1000;1000;1000;1000;1000;1000;1000;1000
_18(0);Support Ruling;10629;3.8;5.34;868.8;762.57;913.24;1104.62;1431.73;1469.6;1673.03;NA;NA;0.87;NA;NA;NA;NA
_18(0);Instant Replay4th Period ([hour]);2395;85.93;183.69;10.68;13.04;15.98;12.13;12.2;6.84;20.63;410.82;380.34;240.59;163.96;139.08;133.33;108.06
_18(0);Instant Replay3rd Period ([hour]);2389;134.6;203.51;13.73;10.24;16.74;10.61;16.02;15.2;10.7;324.7;353.66;191.6;175.92;156.46;175;131.87
_18(0);Instant Replay2nd Period ([hour]);2317;152.09;205.03;18.31;15.83;14.46;9.86;9.15;13.68;20.63;322.41;317.07;190.73;159.69;160.24;137.12;148.35
_18(0);Instant Replay1st Period ([hour]);1943;143.73;181.4;12.2;13.04;11.42;11.37;12.97;12.16;10.7;251.52;254.57;162.73;122.12;128.5;137.12;119.05
_18(0);Instant Replay1st OT ([hour]);191;8.37;12.96;0.76;NA;3.81;3.79;NA;3.04;2.29;27.44;27.44;25.37;15.37;6.8;6.06;16.48
_18(0);Instant Replay2nd OT ([hour]);21;2.28;NA;NA;NA;NA;NA;NA;0.76;NA;1.52;3.81;2.62;5.12;NA;0.76;NA
_18(0);Instant Replay3rd OT ([hour]);6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.81;NA;NA;0.76;NA;NA
_18(1);Overturn Ruling;2570;0.76;NA;221.21;204.84;256.47;367.7;292.91;307.75;342.25;NA;NA;NA;NA;NA;NA;NA
_18(1);Instant Replay4th Period ([hour]);1141;24.33;62.5;2.29;4.66;3.04;3.03;3.05;4.56;3.82;148.63;173.02;153.98;131.51;82.39;77.27;60.44
_18(1);Instant Replay3rd Period ([hour]);718;21.29;38.11;NA;NA;0.76;1.52;0.76;NA;0.76;73.17;92.99;84.86;86.25;94.48;50;51.28
_18(1);Instant Replay2nd Period ([hour]);623;18.25;33.54;1.53;NA;0.76;1.52;NA;NA;NA;72.41;80.03;76.99;72.59;86.17;37.88;23.81
_18(1);Instant Replay1st Period ([hour]);455;17.49;43.45;0.76;1.86;0.76;0.76;NA;NA;0.76;52.59;45.73;53.37;44.41;55.18;28.03;31.14
_18(1);Instant Replay1st OT ([hour]);58;NA;3.81;1.53;0.93;0.76;NA;NA;NA;0.76;8.38;8.38;7.87;4.27;1.51;6.82;1.83
_18(1);Instant Replay2nd OT ([hour]);11;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.52;4.57;1.75;0.85;NA;NA;NA
_18(1);Instant Replay3rd OT ([hour]);2;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA
_18(2);Instant Replay4th Period ([hour]);183;0.76;3.05;3.05;0.93;0.76;3.79;3.05;4.56;6.88;25.91;16.77;17.5;15.37;22.68;12.88;12.82
_18(2);Instant Replay3rd Period ([hour]);125;NA;3.05;NA;0.93;NA;NA;3.81;6.84;5.35;17.53;16.77;8.75;7.69;11.34;9.85;12.82
_18(2);Altercation Ruling;118;NA;NA;1.53;8.38;10.65;8.34;11.44;18.24;32.85;NA;NA;NA;NA;NA;NA;NA
_18(2);Instant Replay2nd Period ([hour]);114;NA;NA;NA;1.86;NA;1.52;1.53;0.76;6.88;19.05;8.38;16.62;7.69;14.36;7.58;9.16
_18(2);Instant Replay1st Period ([hour]);49;NA;0.76;NA;NA;NA;NA;NA;0.76;3.82;6.86;5.34;4.37;5.12;3.78;3.79;9.16
_18(2);Instant Replay1st OT ([hour]);3;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;0.76;0.87;NA;NA;NA;NA
_18(2);Instant Replay2nd OT ([hour]);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA
_18(3);Instant Replay4th Period ([hour]);269;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.74;64.9;46.86;32.58;54.95
_18(3);Instant Replay3rd Period ([hour]);206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27.12;50.38;43.08;34.09;25.64
_18(3);Instant Replay2nd Period ([hour]);190;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.62;30.74;49.89;30.3;38.46
_18(3);Instant Replay1st Period ([hour]);109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;19.64;24.19;15.91;16.48
_18(3);Instant Replay1st OT ([hour]);14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.25;4.27;2.27;NA;NA
_18(3);Instant Replay2nd OT ([hour]);4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.71;0.76;0.76;NA
_18(4);Instant Replay4th Period ([hour]);519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125.11;73.44;83.14;94.7;100.73
_18(4);Instant Replay3rd Period ([hour]);196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52.49;20.5;32.5;31.06;51.28
_18(4);Instant Replay2nd Period ([hour]);100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31.5;12.81;12.85;14.39;23.81
_18(4);Instant Replay1st Period ([hour]);49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14.87;8.54;3.02;7.58;14.65
_18(4);Instant Replay1st OT ([hour]);23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.37;1.71;5.29;6.82;NA
_18(5);Instant Replay4th Period ([hour]);868;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;121.61;131.51;151.17;191.67;223.44
_18(5);Instant Replay3rd Period ([hour]);449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;71.74;71.73;67.27;81.82;157.51
_18(5);Instant Replay2nd Period ([hour]);305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51.62;54.65;43.08;44.7;120.88
_18(5);Instant Replay1st Period ([hour]);120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.37;16.23;12.85;18.18;56.78
_18(5);Instant Replay1st OT ([hour]);29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.87;7.69;5.29;9.09;NA
_18(5);Instant Replay2nd OT ([hour]);3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.87;NA;0.76;NA;1.83
_18(5);Coach Challenge Overturn Ruling;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA
_18(6);Instant Replay4th Period ([hour]);519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57.74;100.77;104.31;92.42;137.36
_18(6);Instant Replay3rd Period ([hour]);214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29.75;58.07;37.04;25.76;53.11
_18(6);Instant Replay2nd Period ([hour]);149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16.62;26.47;30.23;23.48;51.28
_18(6);Instant Replay1st Period ([hour]);38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.5;7.69;4.54;6.06;20.15
_18(6);Instant Replay1st OT ([hour]);27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.25;3.42;2.27;9.09;3.66
_18(6);Instant Replay3rd OT ([hour]);2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.51;NA;NA
_18(6);Instant Replay2nd OT ([hour]);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA
_18(7);Instant Replay2nd Period ([hour]);52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31.06;20.15
_18(7);Instant Replay1st Period ([hour]);48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21.97;34.8
_18(7);Instant Replay3rd Period ([hour]);46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.52;20.15
_18(7);Instant Replay4th Period ([hour]);45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21.21;31.14
_18(7);Instant Replay1st OT ([hour]);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.83
_2(1);MISS [player] [dist] Dunk;1716;34.22;34.3;201.37;212.29;184.93;181.2;9.15;5.32;6.11;115.85;86.89;69.12;74.3;71.05;49.24;62.27
_2(1);MISS [player] [dist] Alley Oop Dunk;1586;10.65;16.01;67.12;72.63;79.91;71.27;12.2;16.72;12.99;150.15;146.34;158.36;133.22;148.15;96.97;148.35
_2(1);MISS [player] Dunk;1419;225.1;191.31;38.14;41.9;35.77;25.02;184.59;176.29;139.8;5.34;3.05;4.37;5.12;6.8;6.82;NA
_2(1);MISS [player] [dist] Driving Dunk;1287;3.04;6.1;44.24;49.35;37.29;31.08;4.58;5.32;9.17;108.23;127.29;135.61;133.22;118.67;154.55;124.54
_2(1);MISS [player] Alley Oop Dunk;678;63.12;64.79;12.2;9.31;10.65;7.58;96.87;110.18;102.37;9.15;9.15;7;9.39;4.54;3.79;NA
_2(1);MISS [player] [dist] Cutting Dunk Shot;548;NA;NA;NA;NA;NA;NA;NA;2.28;2.29;40.4;75.46;67.37;75.15;70.29;75.76;58.61
_2(1);MISS [player] [dist] Putback Dunk;461;3.8;7.62;39.66;54.93;41.86;40.18;9.15;7.6;6.88;60.21;34.3;26.25;10.25;9.07;9.09;10.99
_2(1);MISS [player] [dist] Running Dunk;439;NA;2.29;4.58;4.66;9.13;2.27;0.76;4.56;3.06;35.06;35.82;48.12;42.7;55.18;73.48;56.78
_2(1);MISS [player] Tip Dunk Shot;417;NA;NA;NA;NA;NA;NA;NA;22.8;38.96;0.76;NA;0.87;67.46;84.66;78.03;73.26
_2(1);MISS [player] Putback Dunk;414;31.18;57.16;6.1;8.38;9.13;8.34;58.73;34.95;41.25;2.29;0.76;NA;16.23;24.94;13.64;12.82
_2(1);MISS [player] [dist] Tip Dunk Shot;405;NA;NA;NA;NA;NA;NA;NA;5.32;5.35;63.26;104.42;101.49;14.52;12.85;8.33;18.32
_2(1);MISS [player] Driving Dunk;377;31.94;25.91;1.53;10.24;4.57;6.07;39.66;56.99;77.92;3.81;7.62;5.25;5.12;5.29;5.3;7.33
_2(1);MISS [player] [dist] Running Alley Oop Dunk Shot;143;NA;NA;NA;NA;NA;NA;NA;0.76;1.53;12.2;4.57;13.12;6.83;22.68;31.06;43.96
_2(1);MISS [player] [dist] Slam Dunk;134;9.13;9.91;23.65;24.21;23.59;15.92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] Slam Dunk;123;25.1;20.58;2.29;5.59;6.09;4.55;30.51;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] Cutting Dunk Shot;91;NA;NA;NA;NA;NA;NA;NA;19.76;29.79;6.1;3.81;3.5;1.71;3.78;0.76;1.83
_2(1);MISS [player] Running Dunk;91;4.56;4.57;0.76;3.72;NA;NA;4.58;12.16;27.5;0.76;0.76;2.62;0.85;2.27;3.03;5.49
_2(1);MISS [player] [dist] Reverse Dunk;78;0.76;NA;3.05;8.38;9.89;7.58;NA;3.04;0.76;3.05;7.62;1.75;3.42;3.02;7.58;3.66
_2(1);MISS [player] [dist] Driving Slam Dunk;53;2.28;7.62;9.15;5.59;5.33;11.37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] Reverse Dunk;53;8.37;9.91;NA;1.86;NA;NA;9.15;3.8;5.35;0.76;0.76;0.87;NA;NA;NA;NA
_2(1);MISS [player] Driving Slam Dunk;45;6.84;5.34;NA;1.86;3.04;0.76;16.78;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] [dist] Putback Slam Dunk;37;0.76;1.52;6.1;7.45;6.85;3.79;3.05;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] [dist] Driving Reverse Dunk Shot;33;NA;NA;NA;NA;NA;NA;NA;NA;0.76;3.81;3.05;1.75;4.27;6.05;3.79;5.49
_2(1);MISS [player] Putback Slam Dunk;23;2.28;5.34;2.29;1.86;0.76;0.76;4.58;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] Driving Reverse Dunk Shot;12;NA;NA;NA;NA;NA;NA;NA;3.8;3.06;NA;0.76;0.87;NA;NA;0.76;NA
_2(1);MISS [player] [dist] Running Slam Dunk;10;NA;NA;1.53;3.72;2.28;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] [dist] Reverse Slam Dunk;8;NA;NA;1.53;NA;1.52;2.27;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] Running Alley Oop Dunk Shot;7;NA;NA;NA;NA;NA;NA;NA;NA;3.82;NA;NA;NA;NA;1.51;NA;NA
_2(1);MISS [player] Running Slam Dunk;7;2.28;0.76;NA;0.93;NA;NA;1.53;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] Reverse Slam Dunk;6;2.28;NA;NA;NA;0.76;0.76;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1);MISS [player] [dist] Running Reverse Dunk Shot;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;1.51;1.52;NA
_2(1b);MISS [player] [dist] Dunk [player] BLOCK (cnt BLK);1996;19.01;26.68;153.32;176.91;197.11;158.45;12.97;9.12;8.4;150.15;157.01;125.11;118.7;111.11;115.91;95.24
_2(1b);MISS [player] [dist] Driving Dunk [player] BLOCK (cnt BLK);1279;1.52;6.1;28.99;36.31;21.31;29.57;4.58;9.12;9.93;89.18;130.34;141.73;140.91;142.86;147.73;173.99
_2(1b);MISS [player] Dunk [player] BLOCK (cnt BLK);1135;169.58;142.53;16.78;30.73;22.07;16.68;158.66;155.02;135.98;3.81;5.34;2.62;2.56;3.78;3.79;1.83
_2(1b);MISS [player] [dist] Cutting Dunk Shot [player] BLOCK (cnt BLK);871;NA;NA;NA;NA;NA;NA;NA;3.04;6.88;60.21;80.03;98.86;111.87;127.74;133.33;155.68
_2(1b);MISS [player] [dist] Running Dunk [player] BLOCK (cnt BLK);325;NA;0.76;2.29;3.72;3.04;3.03;NA;1.52;0.76;17.53;20.58;28.87;32.45;46.86;60.61;78.75
_2(1b);MISS [player] Driving Dunk [player] BLOCK (cnt BLK);266;31.18;19.05;0.76;5.59;3.04;3.03;28.22;50.15;44.31;3.81;2.29;1.75;2.56;3.78;3.03;3.66
_2(1b);MISS [player] [dist] Alley Oop Dunk [player] BLOCK (cnt BLK);115;NA;NA;0.76;4.66;1.52;2.27;0.76;2.28;0.76;9.91;11.43;7.87;14.52;13.61;10.61;23.81
_2(1b);MISS [player] Cutting Dunk Shot [player] BLOCK (cnt BLK);81;NA;NA;NA;NA;NA;NA;NA;13.68;38.96;NA;3.05;2.62;NA;0.76;2.27;1.83
_2(1b);MISS [player] [dist] Putback Dunk [player] BLOCK (cnt BLK);53;NA;NA;0.76;1.86;1.52;0.76;NA;NA;NA;2.29;6.1;6.12;2.56;9.83;6.82;7.33
_2(1b);MISS [player] Running Dunk [player] BLOCK (cnt BLK);41;3.8;0.76;0.76;0.93;NA;NA;4.58;9.88;5.35;NA;0.76;0.87;2.56;0.76;0.76;NA
_2(1b);MISS [player] [dist] Reverse Dunk [player] BLOCK (cnt BLK);39;0.76;NA;0.76;4.66;3.81;1.52;NA;NA;NA;1.52;1.52;3.5;2.56;0.76;6.82;7.33
_2(1b);MISS [player] [dist] Slam Dunk [player] BLOCK (cnt BLK);31;2.28;1.52;4.58;4.66;7.61;3.03;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] Putback Dunk [player] BLOCK (cnt BLK);28;0.76;0.76;NA;NA;NA;NA;1.53;1.52;4.58;NA;NA;NA;2.56;2.27;4.55;7.33
_2(1b);MISS [player] Slam Dunk [player] BLOCK (cnt BLK);26;6.08;3.05;0.76;1.86;0.76;0.76;6.86;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] Alley Oop Dunk [player] BLOCK (cnt BLK);24;1.52;0.76;NA;NA;NA;NA;3.81;3.04;6.11;NA;0.76;NA;NA;1.51;0.76;NA
_2(1b);MISS [player] [dist] Tip Dunk Shot [player] BLOCK (cnt BLK);19;NA;NA;NA;NA;NA;NA;NA;NA;0.76;3.81;4.57;3.5;1.71;NA;NA;1.83
_2(1b);MISS [player] Reverse Dunk [player] BLOCK (cnt BLK);18;3.04;0.76;NA;NA;NA;NA;2.29;1.52;6.11;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] Tip Dunk Shot [player] BLOCK (cnt BLK);13;NA;NA;NA;NA;NA;NA;NA;NA;2.29;NA;NA;NA;NA;3.02;3.79;1.83
_2(1b);MISS [player] Driving Slam Dunk [player] BLOCK (cnt BLK);10;0.76;1.52;0.76;NA;NA;NA;4.58;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] [dist] Driving Reverse Dunk Shot [player] BLOCK (cnt BLK);9;NA;NA;NA;NA;NA;NA;NA;0.76;NA;1.52;0.76;0.87;NA;0.76;2.27;NA
_2(1b);MISS [player] [dist] Driving Slam Dunk [player] BLOCK (cnt BLK);7;0.76;0.76;NA;NA;0.76;2.27;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] [dist] Running Alley Oop Dunk Shot [player] BLOCK (cnt BLK);5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.71;1.51;NA;1.83
_2(1b);MISS [player] [dist] Running Reverse Dunk Shot [player] BLOCK (cnt BLK);3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;1.75;NA;NA;NA;NA
_2(1b);MISS [player] [dist] Putback Reverse Dunk [player] BLOCK (cnt BLK);1;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] [dist] Putback Slam Dunk [player] BLOCK (cnt BLK);1;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] [dist] Reverse Slam Dunk [player] BLOCK (cnt BLK);1;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] [dist] Running Slam Dunk [player] BLOCK (cnt BLK);1;NA;NA;NA;0.93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(1b);MISS [player] Running Slam Dunk [player] BLOCK (cnt BLK);1;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2);MISS [player] [dist] Hook Shot;24912;1142.21;1222.56;1306.64;1196.46;1244.29;1415.47;1630.82;1858.66;1744.84;1622.71;1430.64;1013.12;836.89;760.39;658.33;767.4
_2(2);MISS [player] [dist] Turnaround Hook Shot;11651;193.16;205.03;293.67;321.23;328.01;347.99;396.64;629.18;668.45;861.28;1049.54;804.02;880.44;840.51;934.85;882.78
_2(2);MISS [player] [dist] Driving Hook Shot;6178;65.4;65.55;83.91;92.18;129.38;104.62;131.96;335.11;433.16;500;594.51;470.69;432.11;526.83;612.88;589.74
_2(2);MISS [player] [dist] Jump Hook Shot;4052;448.67;472.56;484.36;425.51;422.37;446.55;462.24;NA;NA;NA;NA;NA;NA;NA;NA;NA
_2(2);MISS [player] [dist] Running Hook Shot;2166;209.13;222.56;226.54;245.81;262.56;251.71;274.6;0.76;NA;NA;NA;NA;NA;NA;NA;NA
_2(2);MISS [player] [dist] Driving Bank Hook Shot;731;1.52;1.52;2.29;4.66;3.81;4.55;5.34;22.8;30.56;32.77;58.69;61.24;67.46;84.66;147.73;100.73
_2(2);MISS [player] [dist] Hook Bank Shot;626;15.21;21.34;12.2;27;22.07;9.1;20.59;53.19;37.43;38.11;55.64;36.75;29.04;46.11;44.7;49.45
_2(2);MISS [player] [dist] Turnaround Bank Hook Shot;621;4.56;9.15;9.92;14.9;13.7;16.68;12.97;34.95;25.97;38.87;67.84;40.24;48.68;51.4;68.18;65.93
